Title,SJR,H index,Quartile
Proceedings - Winter Simulation Conference,"0,272",63,-
Public and Municipal Finance,"0,272",7,Q3
Revista Brasileira de Medicina do Trabalho,"0,272",11,Q4
Revista Brasileira de Recursos Hidricos,"0,272",17,Q3
Sinergie,"0,272",8,Q3
Umanistica Digitale,"0,272",5,Q2
Acta Borealia,"0,271",19,Q1
Adultspan Journal,"0,271",14,Q4
Advances in Anesthesia,"0,271",11,Q3
Africa Development/Afrique et Developpement,"0,271",18,Q2
"African Journal of Hospitality, Tourism and Leisure","0,271",23,Q3
American Journal of Dance Therapy,"0,271",23,Q4
American Journal of Psychology,"0,271",51,Q2
Annals of Pediatric Cardiology,"0,271",26,Q3
Art Education,"0,271",28,Q1
Clinical and Translational Discovery,"0,271",5,Q4
Cytologia,"0,271",30,Q3
Diachronica,"0,271",29,Q2
Electronic Journal of General Medicine,"0,271",27,Q3
Functional Foods in Health and Disease,"0,271",27,Q3
Innovative Marketing,"0,271",20,Q3
Journal of Advanced Research in Applied Sciences and Engineering Technology,"0,271",11,Q2
Journal of Analysis,"0,271",13,Q3
Journal of Applied Mathematics and Computational Mechanics,"0,271",8,Q3
Journal of Eastern European and Central Asian Research,"0,271",12,Q3
Journal of Electronic Testing: Theory and Applications (JETTA),"0,271",37,Q3
Journal of Geodetic Science,"0,271",20,Q3
Journal of Hand and Microsurgery,"0,271",6,Q3
"journal of hand surgery Asian-Pacific volume, The","0,271",31,Q3
Journal of Information Literacy,"0,271",16,Q2
Journal of Military Medicine,"0,271",18,Q3
Journal of Southeast Asian Economies,"0,271",11,Q2
Journal of special operations medicine : a peer reviewed journal for SOF medical professionals,"0,271",28,Q3
Karbala International Journal of Modern Science,"0,271",29,Q2
Malaysian Journal of Pathology,"0,271",24,Q3
Memo - Magazine of European Medical Oncology,"0,271",21,Q3
National Journal of Maxillofacial Surgery,"0,271",8,Q3
Non-ferrous Metals,"0,271",11,Q2
Northwestern Geology,"0,271",25,Q3
Qualitative Research Reports in Communication,"0,271",16,Q2
Range Management and Agroforestry,"0,271",14,Q2
Redia,"0,271",16,Q2
Regions and Cohesion,"0,271",9,Q2
Revista Espanola de Orientacion y Psicopedagogia,"0,271",16,Q3
Ruthenica,"0,271",8,Q3
Telkomnika (Telecommunication Computing Electronics and Control),"0,271",31,Q3
Tropical Grasslands - Forrajes Tropicales,"0,271",29,Q3
Annals of Maxillofacial Surgery,"0,270",16,Q3
Bulletin of Geography. Socio-economic Series,"0,270",23,Q1
Bulletin of Monetary Economics and Banking,"0,270",14,Q3
Chemical Data Collections,"0,270",33,Q3
Global Biosecurity,"0,270",12,Q2
Indian Journal of Dental Research,"0,270",53,Q3
International Journal of Educational Methodology,"0,270",10,Q3
International Journal of Industrial and Systems Engineering,"0,270",32,Q3
International Journal of Sustainable Development and Planning,"0,270",23,Q3
"Iranian Journal of Science and Technology, Transaction A: Science","0,270",32,Q2
Journal of Algebra and Related Topics,"0,270",3,Q3
Journal of Avian Medicine and Surgery,"0,270",37,Q3
Journal of Bioinformatics and Computational Biology,"0,270",48,Q3
Journal of Indian Philosophy,"0,270",23,Q1
Journal of Information and Knowledge Management,"0,270",27,Q2
Journal of International Logistics and Trade,"0,270",8,Q3
Journal of Poetry Therapy,"0,270",16,Q3
Journal of Religion and Spirituality in Social Work,"0,270",26,Q1
Journal of Sindhi Studies,"0,270",2,Q1
Kronika,"0,270",4,Q1
Military Behavioral Health,"0,270",16,Q2
Muzeologia a Kulturne Dedicstvo,"0,270",7,Q1
Nigerian Journal of Clinical Practice,"0,270",34,Q3
Polymers from Renewable Resources,"0,270",16,Q3
Research in Post-Compulsory Education,"0,270",24,Q3
SAE International Journal of Electrified Vehicles,"0,270",27,Q3
Ukrainian Geographical Journal,"0,270",5,Q2
X-Ray Spectrometry,"0,270",51,Q3
Acta Mathematicae Applicatae Sinica,"0,269",33,Q3
Ager,"0,269",12,Q3
Bolema - Mathematics Education Bulletin,"0,269",15,Q3
Current Herpetology,"0,269",20,Q3
Health Risk Analysis,"0,269",11,Q3
International Journal of Evidence Based Coaching and Mentoring,"0,269",9,Q3
International Journal of Revenue Management,"0,269",14,Q3
International Journal on Food System Dynamics,"0,269",22,Q3
Iranian Journal of Psychiatry and Behavioral Sciences,"0,269",26,Q4
Irish Geography,"0,269",23,Q3
"Journal of Content, Community and Communication","0,269",14,Q2
Journal of Forest Economics,"0,269",43,Q3
Journal of Human Rights Practice,"0,269",25,Q1
Journal of Nanophotonics,"0,269",43,Q3
Journal of Nursing and Midwifery Sciences,"0,269",5,Q3
Journal of Sustainable Architecture and Civil Engineering,"0,269",7,Q2
Journal of the Faculty of Engineering and Architecture of Gazi University,"0,269",23,Q2
Korean Journal of Remote Sensing,"0,269",13,Q3
Logos and Episteme,"0,269",7,Q2
"Logos: Revista de Linguistica, Filosofia y Literatura","0,269",5,Q1
Mausam,"0,269",21,Q3
Mikrobiyoloji Bulteni,"0,269",24,Q3
Natura Croatica,"0,269",23,Q3
Oncologie,"0,269",12,Q3
Plasma and Fusion Research,"0,269",22,Q3
Respirology Case Reports,"0,269",16,Q3
Sensors and Materials,"0,269",33,Q3
Siglo Cero,"0,269",12,Q3
Stability,"0,269",24,Q2
Structural Integrity and Life,"0,269",17,Q2
Urology Annals,"0,269",27,Q3
Acta medica academica,"0,268",19,Q2
Advances in Oceanography and Limnology,"0,268",20,Q3
American Historical Review,"0,268",77,Q1
Annales de Dermatologie et de Venereologie,"0,268",40,Q3
Ansiedad y Estres,"0,268",18,Q3
Applied Set-Valued Analysis and Optimization,"0,268",10,Q3
Archives of Electrical Engineering,"0,268",21,Q3
"British journal of hospital medicine (London, England : 2005)","0,268",34,Q3
"CAB Reviews: Perspectives in Agriculture, Veterinary Science, Nutrition and Natural Resources","0,268",42,Q2
Current Directions in Biomedical Engineering,"0,268",18,Q3
Digest of Technical Papers - IEEE International Conference on Consumer Electronics,"0,268",33,-
"Drugs, Habits and Social Policy","0,268",21,Q3
Enterprise Modelling and Information Systems Architectures,"0,268",6,Q3
Eurasian Journal of Medicine,"0,268",23,Q3
Foundations of Computing and Decision Sciences,"0,268",17,Q3
Gateways,"0,268",5,Q2
Gornyi Zhurnal,"0,268",20,Q3
Hepatology Forum,"0,268",7,Q3
HTM - Journal of Heat Treatment and Materials,"0,268",13,Q2
Humanistic Management Journal,"0,268",15,Q3
Information Technologies and International Development,"0,268",5,Q2
International Journal of Ad Hoc and Ubiquitous Computing,"0,268",26,Q3
International Journal of Asian Business and Information Management,"0,268",12,Q1
International Journal of Embedded Systems,"0,268",19,Q4
International Journal of Geophysics,"0,268",26,Q3
International Journal of Healthcare Information Systems and Informatics,"0,268",19,Q3
International Journal of Logistics Systems and Management,"0,268",37,Q3
International Journal of Sustainable Agricultural Management and Informatics,"0,268",10,Q3
Iranian Journal of Fisheries Sciences,"0,268",26,Q3
Journal of Binocular Vision and Ocular Motility,"0,268",14,Q3
Journal of Carbohydrate Chemistry,"0,268",40,Q3
Journal of Feminist Family Therapy,"0,268",22,Q2
Journal of Investigative Psychology and Offender Profiling,"0,268",29,Q3
Journal of Mining and Environment,"0,268",12,Q3
Kongqi Donglixue Xuebao/Acta Aerodynamica Sinica,"0,268",24,Q3
Language Value,"0,268",3,Q2
Medizinische Klinik - Intensivmedizin und Notfallmedizin,"0,268",19,Q2
Midwest Symposium on Circuits and Systems,"0,268",42,-
Numerical Analysis and Applications,"0,268",16,Q3
Plateau Meteorology,"0,268",11,Q4
Political Science Quarterly,"0,268",56,Q2
Potchefstroom Electronic Law Journal,"0,268",10,Q2
Proceedings of the Jangjeon Mathematical Society,"0,268",23,Q3
Pyrenae,"0,268",6,Q1
Revista de Biologia Tropical,"0,268",48,Q2
Saudi Journal of Ophthalmology,"0,268",34,Q3
Statistics in Transition,"0,268",12,Q4
Studia Geophysica et Geodaetica,"0,268",43,Q3
Zhongguo Kexue Jishu Kexue/Scientia Sinica Technologica,"0,268",20,Q3
Acta Cirurgica Brasileira,"0,267",37,Q3
Acta Mathematica Vietnamica,"0,267",15,Q3
Air and Space Law,"0,267",6,Q2
Australian Journal of Chemistry,"0,267",85,Q3
Baltic Journal of Road and Bridge Engineering,"0,267",26,Q3
"Business, Management and Economics Engineering","0,267",8,Q3
Casopis pro Moderni Filologii,"0,267",4,Q2
Clinical Laboratory,"0,267",53,Q3
Clinics in Podiatric Medicine and Surgery,"0,267",40,Q3
Communication Disorders Quarterly,"0,267",36,Q2
Current Nanoscience,"0,267",52,Q3
Drug Metabolism and Personalized Therapy,"0,267",38,Q2
Ecological Engineering: X,"0,267",7,Q3
Elektronika ir Elektrotechnika,"0,267",31,Q3
Geologica Balcanica,"0,267",6,Q3
Immunohematology,"0,267",29,Q3
International Journal of Intelligent Unmanned Systems,"0,267",16,Q3
International Journal of Knowledge-Based and Intelligent Engineering Systems,"0,267",23,Q3
International Medical Case Reports Journal,"0,267",19,Q3
Iranian Journal of Electrical and Electronic Engineering,"0,267",17,Q3
Iranian Journal of Pathology,"0,267",20,Q3
Italian Sociological Review,"0,267",9,Q2
Journal of Applied Mechanics and Technical Physics,"0,267",31,Q3
"Journal of Family Trauma, Child Custody and Child Development","0,267",25,Q2
Journal of Interdisciplinary Economics,"0,267",14,Q3
Journal of Medical Imaging and Radiation Sciences,"0,267",24,Q3
Journal of Northwest Atlantic Fishery Science,"0,267",44,Q3
Journal of Scientometric Research,"0,267",8,Q2
Modern Law Review,"0,267",31,Q2
Movimento,"0,267",18,Q3
Open Psychology Journal,"0,267",16,Q3
Opto-Electronics Review,"0,267",49,Q3
Postcolonial Studies,"0,267",25,Q1
Quaestiones Geographicae,"0,267",26,Q3
Revista de la Asociacion Geologica Argentina,"0,267",46,Q3
Revstat Statistical Journal,"0,267",20,Q4
Rubber Chemistry and Technology,"0,267",73,Q3
Sucht,"0,267",28,Q3
Technology and Health Care,"0,267",51,Q3
Xiyou jinshu,"0,267",21,Q2
Acta Ichthyologica et Piscatoria,"0,266",29,Q3
All Life,"0,266",49,Q3
Applied Mathematics and Information Sciences,"0,266",46,Q3
Bulletin of the Institute of Combinatorics and its Applications,"0,266",5,Q3
Clinical Neuropathology,"0,266",48,Q3
Crustaceana,"0,266",41,Q3
DETUROPE,"0,266",11,Q3
Estudos Avancados,"0,266",35,Q1
Geomatics and Environmental Engineering,"0,266",8,Q3
Gesture,"0,266",43,Q1
Hermes (Denmark),"0,266",13,Q2
Image Processing On Line,"0,266",13,Q4
Intelligent Decision Technologies,"0,266",19,Q3
International Criminal Law Review,"0,266",25,Q2
International Journal of Acoustics and Vibrations,"0,266",24,Q3
International Journal of Optics,"0,266",23,Q3
International Journal of Plasma Environmental Science and Technology,"0,266",16,Q3
"International Journal of Reliability, Quality and Safety Engineering","0,266",33,Q3
Isokinetics and Exercise Science,"0,266",32,Q3
Journal of Advanced Biotechnology and Experimental Therapeutics,"0,266",10,Q3
Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,"0,266",25,Q3
Journal of Curriculum and Pedagogy,"0,266",17,Q3
Journal of Medicinal and Pharmaceutical Chemistry Research,"0,266",22,Q3
Journal of Vector Borne Diseases,"0,266",47,Q3
Magazine of Civil Engineering,"0,266",30,Q3
Microbiology Resource Announcements,"0,266",45,Q3
Munibe Antropologia-Arkeologia,"0,266",9,Q2
New Zealand College of Midwives Journal,"0,266",2,Q3
Pedagogy of Physical Culture and Sports,"0,266",8,Q3
Physical Therapy Reviews,"0,266",38,Q3
Qinghua Daxue Xuebao/Journal of Tsinghua University,"0,266",37,Q3
Radiologia Brasileira,"0,266",25,Q3
Research Journal of Pharmacy and Technology,"0,266",54,Q2
Revista Mexicana de Ingeniera Quimica,"0,266",24,Q3
Surgical technology international,"0,266",38,Q3
Turkiye parazitolojii dergisi,"0,266",23,Q3
Acta et Commentationes Universitatis Tartuensis de Mathematica,"0,265",9,Q3
Acta Palaeobotanica,"0,265",29,Q3
Ad-Hoc and Sensor Wireless Networks,"0,265",25,Q3
African Journal of Infectious Diseases,"0,265",17,Q3
Belgian Journal of Linguistics,"0,265",20,Q2
"Biomedical papers of the Medical Faculty of the University Palacký, Olomouc, Czechoslovakia","0,265",54,Q3
Biostatistics and Epidemiology,"0,265",8,Q4
Cauriensia,"0,265",8,Q1
Ceramica,"0,265",27,Q3
Chemistry and Chemical Technology,"0,265",23,Q3
Cybernetics and Physics,"0,265",12,Q3
Diagnostyka,"0,265",17,Q3
Folia Biologica,"0,265",37,Q3
Forum for Health Economics and Policy,"0,265",12,Q3
Genetical Research,"0,265",74,Q3
"Hague Journal of Diplomacy, The","0,265",30,Q2
Information Research,"0,265",57,Q2
International Journal of Hematology-Oncology and Stem Cell Research,"0,265",23,Q3
International Journal of Microsimulation,"0,265",7,Q2
Journal of Applied Botany and Food Quality,"0,265",46,Q3
Journal of Eastern Mediterranean Archaeology and Heritage Studies,"0,265",8,Q2
Journal of Machinery Manufacture and Reliability,"0,265",19,Q3
Journal of Spectral Imaging,"0,265",11,Q3
Journal of the Canadian Chiropractic Association,"0,265",19,Q3
Journal of the Magnetics Society of Japan,"0,265",7,Q3
Journal of Youth Development,"0,265",10,Q4
Landscape Journal,"0,265",17,Q3
Mathematics in Computer Science,"0,265",26,Q3
OnLine Journal of Biological Sciences,"0,265",20,Q3
Patterns of Prejudice,"0,265",42,Q1
Practical Diabetes,"0,265",28,Q3
Proceedings - IEEE Military Communications Conference,"0,265",69,-
Progress in neurological surgery,"0,265",30,Q3
Revista Catalana de Dret Public,"0,265",6,Q2
Serbian Astronomical Journal,"0,265",15,Q3
Sexual Health and Compulsivity,"0,265",47,Q3
Soins Psychiatrie,"0,265",11,Q3
Spectroscopy Letters,"0,265",42,Q3
Studies in Conservation,"0,265",45,Q1
Thalassas,"0,265",16,Q3
Turk Psikiyatri Dergisi,"0,265",36,Q3
Ulusal Travma ve Acil Cerrahi Dergisi,"0,265",30,Q3
Wiadomosci Konserwatorskie,"0,265",7,Q1
Advances in Mathematical Physics,"0,264",31,Q3
African Journal of Wildlife Research,"0,264",37,Q3
Algebra and Discrete Mathematics,"0,264",11,Q3
Alpine Entomology,"0,264",7,Q3
Applied Physics B: Lasers and Optics,"0,264",143,Q3
Archives of Razi Institute,"0,264",16,Q2
Asian Myrmecology,"0,264",17,Q3
Biocontrol Science,"0,264",31,Q3
Cellulose Chemistry and Technology,"0,264",42,Q3
Chemical Biology Letters,"0,264",15,Q3
Clinical Advances in Hematology and Oncology,"0,264",43,Q3
Clinical Reviews in Bone and Mineral Metabolism,"0,264",30,Q3
Communication Teacher,"0,264",15,Q3
Conformal Geometry and Dynamics,"0,264",18,Q4
Educacion Medica,"0,264",22,Q3
Etnograficeskoe Obozrenie,"0,264",6,Q1
European Law Review,"0,264",27,Q2
"Historia, Instituciones, Documentos","0,264",3,Q1
Iconos,"0,264",6,Q2
Indonesian Journal of Chemistry,"0,264",22,Q3
"International Journal of Service Science, Management, Engineering, and Technology","0,264",19,Q2
International Journal of Six Sigma and Competitive Advantage,"0,264",28,Q3
Intertax,"0,264",9,Q2
"Journal of Aeronautics, Astronautics and Aviation","0,264",11,Q3
Journal of Agrometeorology,"0,264",17,Q3
Journal of Applied Science and Engineering (Taiwan),"0,264",32,Q2
Journal of Electronic Imaging,"0,264",72,Q3
Journal of Membrane Science and Research,"0,264",23,Q3
Journal of Optimization in Industrial Engineering,"0,264",12,Q3
Journal of Population and Social Studies,"0,264",10,Q2
Journal of Spectroscopy,"0,264",32,Q3
Journal of The American Institute for Conservation,"0,264",27,Q1
Journal of the Brazilian Chemical Society,"0,264",80,Q3
Journal of the Canadian Health Libraries Association,"0,264",5,Q2
Krisis,"0,264",9,Q1
Lex Portus,"0,264",5,Q2
"Marketing, Zeitschrift fur Forschung und Praxis","0,264",6,Q3
Mutatis Mutandis,"0,264",6,Q2
Open Biotechnology Journal,"0,264",18,Q3
Professions and Professionalism,"0,264",11,Q3
Psyecology,"0,264",16,Q3
Quaestio Rossica,"0,264",8,Q1
Radiation Protection Dosimetry,"0,264",80,Q3
Revista Brasileira de Ciencias Sociais,"0,264",21,Q2
Sahand Communications in Mathematical Analysis,"0,264",8,Q3
ScienceAsia,"0,264",44,Q2
Studies in Political Economy,"0,264",22,Q2
Sustainability and climate change,"0,264",25,Q3
Advances in Group Theory and Applications,"0,263",6,Q4
Annales-Anali za Istrske in Mediteranske Studije - Series Historia et Sociologia,"0,263",12,Q1
Children Australia,"0,263",14,Q2
Collegiate Aviation Review,"0,263",7,Q3
Feminist Formations,"0,263",7,Q1
Gastroenterologia y Hepatologia,"0,263",33,Q3
Hematology Reports,"0,263",18,Q4
International Journal of Communication Networks and Distributed Systems,"0,263",20,Q3
International Journal of Mechanical Engineering and Robotics Research,"0,263",19,Q3
Journal of Labor Research,"0,263",40,Q3
"Journal of Mining and Metallurgy, Section B: Metallurgy","0,263",26,Q3
Journal of The Institution of Engineers (India): Series D,"0,263",19,Q3
Lithology and Mineral Resources,"0,263",23,Q3
Mapan - Journal of Metrology Society of India,"0,263",21,Q3
Margin,"0,263",18,Q3
Modern Rheumatology Case Reports,"0,263",9,Q4
New Voices in Translation Studies,"0,263",9,Q1
Obrazovanie i Nauka,"0,263",15,Q3
Philosophies,"0,263",12,Q2
Projections (New York),"0,263",7,Q1
Revista Iberoamericana de Diagnostico y Evaluacion Psicologica,"0,263",17,Q3
Romanian Journal of Communication and Public Relations,"0,263",8,Q3
Separation Science Plus,"0,263",12,Q3
Studijne Zvesti Archeologickeho Ustavu Slovenskej Akademie Vied,"0,263",5,Q2
Terra Economicus,"0,263",12,Q1
Theatre Research in Canada-Recherches Theatrales au Canada,"0,263",7,Q1
Tizard Learning Disability Review,"0,263",21,Q3
Traditiones,"0,263",11,Q1
Wine Economics and Policy,"0,263",34,Q3
Acta IMEKO,"0,262",18,Q3
Advances in Materials Research (South Korea),"0,262",18,Q3
African Conflict and Peacebuilding Review,"0,262",5,Q1
ASEAN Journal on Science and Technology for Development,"0,262",7,Q3
AsiaIntervention,"0,262",4,Q3
Australian Journal of Electrical and Electronics Engineering,"0,262",17,Q3
Boletin de Geologia,"0,262",12,Q3
British Journal of Community Nursing,"0,262",35,Q3
Case Reports in Dermatological Medicine,"0,262",8,Q3
Critical Studies in Teaching and Learning,"0,262",7,Q2
Cuestiones Teologicas,"0,262",2,Q1
Demografie,"0,262",10,Q3
Documenta et Instrumenta,"0,262",3,Q1
"Forum for Social Economics, The","0,262",14,Q2
Geological Bulletin of China,"0,262",58,Q3
Global Nest Journal,"0,262",38,Q3
Harbin Gongye Daxue Xuebao/Journal of Harbin Institute of Technology,"0,262",28,Q3
Hellenic Journal of Nuclear Medicine,"0,262",26,Q3
IBM Journal of Research and Development,"0,262",102,Q3
International Journal of Design Sciences and Technology,"0,262",9,Q3
Jingangshi yu Moliao Moju Gongcheng/Diamond and Abrasives Engineering,"0,262",13,Q3
Journal of Chemical Metrology,"0,262",6,Q3
Journal of Health Care Finance,"0,262",27,Q3
Journal of Liquid Chromatography and Related Technologies,"0,262",57,Q3
Journal of Psychology and Theology,"0,262",40,Q1
Klinische Monatsblatter fur Augenheilkunde,"0,262",41,Q3
Magnetohydrodynamics,"0,262",25,Q3
Micro and Nano Letters,"0,262",40,Q3
"Nucleosides, Nucleotides and Nucleic Acids","0,262",53,Q3
Perspectives in Biology and Medicine,"0,262",55,Q2
Proceedings - Symposium on Computer Arithmetic,"0,262",35,-
"Proceedings of the Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises, WET ICE","0,262",38,-
Process Safety Progress,"0,262",46,Q3
Region,"0,262",13,Q3
Research on Engineering Structures and Materials,"0,262",9,Q3
Review of Regional Studies,"0,262",23,Q3
Revista Argentina de Antropologia Biologica,"0,262",4,Q2
Russian Engineering Research,"0,262",26,Q3
Technical Services Quarterly,"0,262",18,Q2
Tehnicki Vjesnik,"0,262",37,Q3
Trends in Anaesthesia and Critical Care,"0,262",25,Q3
Advances in Environmental Technology,"0,261",11,Q3
Agri Dergisi,"0,261",25,Q3
Analytical Methods in Environmental Chemistry Journal,"0,261",11,Q3
Cambridge Law Journal,"0,261",29,Q2
Case Reports in Anesthesiology,"0,261",7,Q3
Central European Journal of Nursing and Midwifery,"0,261",13,Q3
Current Medical Mycology,"0,261",14,Q3
"Electrical Contacts, Proceedings of the Annual Holm Conference on Electrical Contacts","0,261",27,-
European Journal of Case Reports in Internal Medicine,"0,261",17,Q3
Feddes Repertorium,"0,261",28,Q3
Financial History Review,"0,261",23,Q1
Forestry Chronicle,"0,261",56,Q3
Fractional Differential Calculus,"0,261",7,Q3
Hellenic Journal of Psychology,"0,261",13,Q3
Hong Kong Medical Journal,"0,261",57,Q3
Infinity Journal,"0,261",9,Q2
International Geoscience and Remote Sensing Symposium (IGARSS),"0,261",84,-
International Journal of Clinical Pharmacology and Therapeutics,"0,261",73,Q3
International Journal of Industrial Chemistry,"0,261",38,Q3
Journal of Applied Engineering Science,"0,261",19,Q3
Journal of Comparative Social Work,"0,261",6,Q2
Journal of Computational Applied Mechanics,"0,261",12,Q3
Journal of Disability and Religion,"0,261",19,Q1
Journal of Integrated Design and Process Science,"0,261",20,Q3
Journal of Pharmacy and Bioallied Sciences,"0,261",54,Q2
Pakistan Journal of Criminology,"0,261",6,Q2
Prisma Social,"0,261",13,Q2
Rev Roumaine des Sciences Techniques-Series Electrotechnique et Energetique,"0,261",19,Q3
Revista de Derecho Civil,"0,261",7,Q2
Science Education International,"0,261",8,Q3
SiSal Journal,"0,261",7,Q2
Social Work and Social Sciences Review,"0,261",12,Q2
Studies in Documentary Film,"0,261",14,Q1
Thailand Statistician,"0,261",10,Q3
Theoretical and Applied Ecology,"0,261",9,Q3
Thermal Engineering (English translation of Teploenergetika),"0,261",25,Q3
Trends in Sport Sciences,"0,261",7,Q3
Tropical Biomedicine,"0,261",43,Q3
Tropical Parasitology,"0,261",15,Q3
Zhurnal Srednevolzhskogo Matematicheskogo Obshchestva,"0,261",2,Q3
Applied Engineering in Agriculture,"0,260",63,Q3
Bariatric Surgical Patient Care,"0,260",16,Q2
Biomedica,"0,260",34,Q3
Boletin de la Sociedad Geologica Mexicana,"0,260",22,Q3
Central European Journal of International and Security Studies,"0,260",7,Q2
Central European Management Journal,"0,260",13,Q2
Coupled Systems Mechanics,"0,260",16,Q3
Discourse and Interaction,"0,260",8,Q2
Global Food History,"0,260",4,Q1
Global Studies of Childhood,"0,260",18,Q3
International Journal of Applied Mathematics,"0,260",11,Q3
International Journal of Electrochemical Science,"0,260",99,Q4
International Journal of High Performance Systems Architecture,"0,260",14,Q4
International Journal of Web-Based Learning and Teaching Technologies,"0,260",18,Q3
Investigaciones Turisticas,"0,260",8,Q2
Jordan Journal of Biological Sciences,"0,260",20,Q3
Journal of Advertising Education,"0,260",7,Q3
"Journal of Logistics, Informatics and Service Science","0,260",8,Q3
Journal of the Japan Petroleum Institute,"0,260",31,Q3
Journal of Web Engineering,"0,260",17,Q3
New Disease Reports,"0,260",10,Q3
Pakistan Journal of Statistics,"0,260",21,Q4
Pediatric Dental Journal,"0,260",13,Q3
Pflege,"0,260",15,Q3
Physics of Particles and Nuclei,"0,260",42,Q3
Postmedieval,"0,260",10,Q1
Refuge,"0,260",31,Q1
Russian Journal of Nonlinear Dynamics,"0,260",10,Q3
Slovenska Rec,"0,260",5,Q2
South African Journal of African Languages,"0,260",12,Q1
Studies on Russian Economic Development,"0,260",18,Q3
Textile and Leather Review,"0,260",8,Q3
Tourism and Hospitality Management,"0,260",22,Q3
Wound Practice and Research,"0,260",8,Q2
Zeitschrift fur Rheumatologie,"0,260",42,Q4
Zemdirbyste,"0,260",27,Q3
Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,"0,259",20,Q3
Acta Chirurgica Belgica,"0,259",41,Q3
Ankara Universitesi Veteriner Fakultesi Dergisi,"0,259",16,Q2
"Annals of the University of Craiova, Mathematics and Computer Science Series","0,259",14,Q3
Automatic Control and Computer Sciences,"0,259",23,Q3
Berliner Journal fur Soziologie,"0,259",19,Q3
Canadian Ethnic Studies/Etudes Ethniques au Canada,"0,259",7,Q1
Consortium Psychiatricum,"0,259",5,Q3
Contemporary Problems of Ecology,"0,259",23,Q3
Creative nursing,"0,259",16,Q3
Current Research in Environmental and Applied Mycology,"0,259",11,Q3
Defence Science Journal,"0,259",40,Q2
Economic and Social Review,"0,259",31,Q3
EPiC Series in Computing,"0,259",13,-
Food Bioengineering,"0,259",4,Q3
Foundations and Trends in Microeconomics,"0,259",20,Q3
IECON Proceedings (Industrial Electronics Conference),"0,259",79,-
Infocommunications Journal,"0,259",10,Q3
International Journal of Corrosion,"0,259",30,Q3
International Journal of Heavy Vehicle Systems,"0,259",25,Q3
International Journal of Information and Decision Sciences,"0,259",18,Q3
International Journal of Surgery Open,"0,259",14,Q3
Iraqi Journal of Science,"0,259",16,Q3
Izvestiya Instituta Matematiki i Informatiki Udmurtskogo Gosudarstvennogo Universiteta,"0,259",5,Q3
Journal of Baltic Studies,"0,259",25,Q1
Journal of Macromolecular Science - Physics,"0,259",54,Q3
Journal of Rehabilitation in Civil Engineering,"0,259",9,Q3
Journal of the Southern African Institute of Mining and Metallurgy,"0,259",46,Q3
Lecture Notes in Computational Science and Engineering,"0,259",43,Q3
Media e Jornalismo,"0,259",5,Q1
Mocaxue Xuebao/Tribology,"0,259",29,Q3
North-Western Journal of Zoology,"0,259",24,Q3
Ocean Yearbook Online,"0,259",12,Q2
Probability and Mathematical Statistics,"0,259",12,Q4
Progress in Pediatric Cardiology,"0,259",36,Q3
Southern African Journal of Entrepreneurship and Small Business Management,"0,259",7,Q3
Southern African Linguistics and Applied Language Studies,"0,259",22,Q2
Theology and Science,"0,259",15,Q1
Acta Metallurgica Slovaca,"0,258",16,Q3
Acta Veterinaria Hungarica,"0,258",39,Q3
Aerospace Systems,"0,258",10,Q2
Archives of Psychiatry and Psychotherapy,"0,258",16,Q3
Biomedical Photonics,"0,258",10,Q3
Bulletin of the American Society of Papyrologists,"0,258",11,Q1
Cardiovascular and Hematological Disorders - Drug Targets,"0,258",45,Q3
Chemical Engineering Transactions,"0,258",47,Q3
China Welding (English Edition),"0,258",12,Q3
Communication Today,"0,258",10,Q3
Computing and Informatics,"0,258",31,Q3
Criminal Law and Philosophy,"0,258",23,Q2
Emerging Materials Research,"0,258",20,Q3
European Review of History/Revue Europeenne d'Histoire,"0,258",19,Q1
Harvard Journal of Legislation,"0,258",20,Q2
"Herald of the Bauman Moscow State Technical University, Series Natural Sciences","0,258",11,Q3
"Historia, Ciencias, Saude - Manguinhos","0,258",23,Q2
Horizon. Studies in Phenomenology,"0,258",4,Q2
Industrial Biotechnology,"0,258",42,Q3
International Journal of Public Theology,"0,258",7,Q1
International Journal of Semantic Computing,"0,258",20,Q2
Jazykovedny Casopis,"0,258",5,Q2
Journal of Applied Pharmaceutical Science,"0,258",56,Q2
Journal of Culinary Science and Technology,"0,258",25,Q3
Journal of Extension,"0,258",37,Q3
Journal of Mathematical Modeling,"0,258",9,Q3
Journal of Public Interest Communications,"0,258",5,Q1
Knowledge Cultures,"0,258",15,Q1
Komp'juternaja Lingvistika i Intellektual'nye Tehnologii,"0,258",16,-
Medical Acupuncture,"0,258",22,Q3
National Academy Science Letters,"0,258",27,Q3
Neftyanoe khozyaystvo - Oil Industry,"0,258",21,Q3
Noise and Vibration Worldwide,"0,258",18,Q3
Ocean Systems Engineering,"0,258",10,Q3
Open Chemical Engineering Journal,"0,258",15,Q3
Physical Chemistry Research,"0,258",18,Q3
Progress in Agricultural Engineering Sciences,"0,258",11,Q3
RCN nursing standard,"0,258",51,Q3
Revista Colombiana de Psicologia,"0,258",13,Q2
Revista de Derecho,"0,258",11,Q2
Suo,"0,258",19,Q3
Text and Performance Quarterly,"0,258",35,Q1
